CustomerID,Age,AnnualIncome,SpendingScore,PurchaseFrequency
1,64,93951,12,3
2,42,63441,53,21
3,44,100558,14,2
4,33,107750,83,25
5,62,23917,19,6
6,36,105601,82,30
7,53,57445,9,2
8,40,52214,65,20
9,44,106851,84,27
10,25,22194,83,15
11,27,37991,78,19
12,61,57397,69,18
13,45,58794,67,10
14,20,45690,85,22
15,21,27566,90,23
16,50,72041,60,14
17,36,122034,84,26
18,52,52822,44,16
19,39,67282,53,16
20,55,114261,15,2
21,24,32433,69,18
22,52,22249,19,1
23,36,104087,88,28
24,48,90753,16,3
25,50,18831,17,8
26,33,106351,100,29
27,26,22250,74,18
28,53,86662,3,2
29,34,101977,92,30
30,37,103047,86,26
31,34,124534,85,25
32,47,23435,14,2
33,56,20632,14,5
34,28,104092,90,27
35,46,15077,20,2
36,41,87105,4,2
37,56,24089,19,5
38,18,29481,71,23
39,36,63114,30,9
40,52,56204,56,16
41,37,108743,83,24
42,42,18784,20,1
43,25,36990,82,24
44,51,20851,27,6
45,23,24817,67,22
46,20,25156,70,26
47,44,27082,16,3
48,18,43874,76,23
49,40,54089,56,17
50,29,43583,88,26
51,39,58647,38,16
52,35,112766,83,26
53,34,123626,91,24
54,42,110686,5,3
55,65,22308,9,5
56,25,39456,73,22
57,29,28861,76,19
58,23,58477,70,12
59,25,32413,81,26
60,40,101027,1,2
61,43,57332,49,13
62,24,44227,76,24
63,42,19569,13,4
64,27,57171,43,15
65,46,61167,49,13
66,25,37101,65,22
67,22,31933,82,29
68,48,23071,15,5
69,53,20659,28,6
70,28,151815,87,23
71,50,67534,45,11
72,24,26097,84,24
73,26,37742,81,30
74,28,25672,69,24
75,49,94018,7,2
76,49,22062,12,5
77,26,36807,77,29
78,41,119960,97,23
79,44,103688,7,4
80,61,21688,20,5
81,43,46793,43,12
82,35,49217,51,21
83,33,101594,4,2
84,39,61587,42,13
85,32,104600,87,29
86,45,67667,66,10
87,22,25923,77,19
88,31,28895,93,23
89,47,119795,89,27
90,32,104222,87,26
91,28,28226,75,19
92,49,79767,9,3
93,18,17810,78,26
94,34,106083,100,25
95,50,61747,51,12
96,41,23607,17,4
97,46,91231,7,1
98,41,61689,49,12
99,34,119488,79,30
100,22,38721,66,23
101,28,32002,80,28
102,38,116525,85,30
103,65,31870,18,5
104,21,27484,77,27
105,22,37340,59,17
106,45,59962,55,16
107,61,26273,26,8
108,31,33102,84,25
109,60,83821,2,3
110,40,109176,96,30
111,21,29904,71,24
112,48,95286,16,4
113,39,20288,4,2
114,25,37313,79,24
115,40,129299,10,3
116,21,37931,69,21
117,38,23746,19,1
118,47,104521,2,2
119,58,52002,60,21
120,29,117279,92,24
121,55,110050,7,5
122,42,28000,1,6
123,43,61204,57,18
124,28,101892,93,30
125,47,101980,15,4
126,30,67511,58,12
127,38,112936,16,3
128,38,58055,61,13
129,51,17602,15,2
130,37,66577,49,11
131,43,22527,5,4
132,41,102921,86,26
133,33,55596,41,13
134,38,98049,1,3
135,52,79750,14,4
136,59,16034,15,2
137,35,86360,7,3
138,26,30998,93,17
139,28,36105,74,21
140,37,21603,17,5
141,30,53134,59,21
142,37,123761,90,21
143,54,20687,26,6
144,27,45624,81,19
145,42,20431,21,5
146,38,121012,81,26
147,28,25506,82,20
148,37,113730,84,25
149,61,77163,6,3
150,47,113808,6,3
151,44,55560,50,14
152,20,33777,71,24
153,41,111910,91,23
154,21,31803,80,23
155,52,102240,10,4
156,39,125503,84,26
157,48,114541,16,4
158,45,71112,10,3
159,61,51112,75,25
160,31,65292,58,15
161,52,55768,52,8
162,25,31620,73,17
163,25,32073,73,25
164,18,38627,76,19
165,27,35243,80,19
166,27,29946,85,19
167,48,17322,19,2
168,50,23735,23,4
169,35,93804,76,30
170,48,22158,18,6
171,57,24480,25,5
172,49,109597,8,4
173,39,113021,80,22
174,49,76116,9,3
175,52,54330,48,15
176,32,41166,76,17
177,49,23226,11,3
178,60,17212,16,6
179,47,53394,53,14
180,30,115059,84,26
181,39,64688,35,14
182,36,107199,86,30
183,35,117780,95,26
184,27,41458,77,21
185,42,121081,6,1
186,34,99919,95,28
187,36,56969,53,14
188,38,103717,87,28
189,49,67100,43,9
190,30,122601,91,30
191,39,120016,15,1
192,30,112353,8,4
193,37,119054,91,29
194,42,54159,65,14
195,55,23286,20,1
196,20,23480,84,17
197,28,37431,72,24
198,57,60859,63,12
199,29,115280,94,25
200,36,96515,100,30
201,55,108380,5,2
202,26,30716,71,25
203,60,86416,1,2
204,23,39599,66,22
205,30,128451,81,23
206,42,62489,51,7
207,34,106840,90,24
208,38,67994,43,13
209,35,93607,19,3
210,50,27766,18,6
211,23,58632,57,10
212,40,17069,17,2
213,51,53636,50,13
214,41,60359,68,11
215,25,29770,78,25
216,39,57019,43,13
217,35,57858,57,8
218,40,15867,24,5
219,29,31493,83,24
220,25,121351,86,27
221,22,43494,74,20
222,38,117079,89,30
223,51,44884,46,17
224,49,116405,10,4
225,54,53690,63,19
226,40,56993,50,15
227,46,140723,12,3
228,38,63999,57,10
229,46,109879,5,3
230,32,114720,89,29
231,43,50811,55,12
232,54,25073,21,2
233,48,31241,8,8
234,29,90189,79,24
235,59,18277,13,2
236,36,58689,48,12
237,65,27739,18,7
238,23,30193,87,23
239,46,105186,13,5
240,52,63610,7,3
241,41,55883,52,10
242,64,23007,21,7
243,40,57296,58,12
244,50,48810,59,16
245,56,92166,6,3
246,39,22025,18,7
247,53,19096,21,2
248,33,37774,87,29
249,23,35650,81,15
250,49,71214,15,1
251,53,56631,30,20
252,59,91221,9,3
253,70,25151,15,2
254,28,55872,51,18
255,53,64170,54,17
256,58,93798,14,2
257,24,31363,79,17
258,37,97182,4,3
259,46,90011,13,3
260,42,50074,56,11
261,23,36039,75,17
262,50,23404,14,3
263,43,61106,63,15
264,54,93579,18,3
265,59,21352,16,2
266,51,57621,40,21
267,69,115517,8,3
268,57,83193,20,4
269,31,49508,51,12
270,24,31197,75,19
271,40,120281,88,25
272,34,106614,80,30
273,25,134207,94,20
274,23,39333,88,24
275,26,43982,80,27
276,47,87682,10,3
277,36,101982,82,26
278,46,20521,12,5
279,39,114091,99,28
280,47,111127,2,3
281,35,108340,81,27
282,56,101842,17,2
283,56,20523,19,1
284,43,19510,17,4
285,41,104144,88,24
286,18,38925,77,26
287,67,13642,21,5
288,31,116650,88,28
289,48,102674,10,2
290,41,115412,94,26
291,49,18689,15,7
292,54,50097,49,14
293,47,24445,21,5
294,41,118649,94,24
295,28,123238,96,30
296,51,62875,39,13
297,50,59422,54,7
298,41,92438,5,1
299,43,18203,19,5
300,33,111116,98,27
301,63,27561,25,3
302,49,95641,11,3
303,18,30895,69,19
304,38,122046,83,26
305,46,52010,58,12
306,40,98594,6,3
307,48,22518,22,2
308,39,64597,57,17
309,44,68504,59,9
310,46,87056,11,3
311,30,111679,80,28
312,49,56310,52,13
313,31,106001,85,25
314,25,34209,85,19
