CustomerID,Age,AnnualIncome,SpendingScore,PurchaseFrequency
1,62,11347,22,4
2,31,17485,15,3
3,34,102124,10,2
4,34,113246,89,29
5,38,51765,63,17
6,20,34472,70,27
7,66,33879,43,17
8,46,75136,55,16
9,34,95762,8,3
10,41,58334,50,18
11,30,111957,100,28
12,40,57642,54,14
13,36,115099,93,30
14,66,42986,49,19
15,40,107640,13,3
16,42,93308,17,1
17,61,59062,48,20
18,52,49299,42,16
19,54,15242,18,3
20,43,108792,97,30
21,25,24335,71,22
22,36,61035,58,16
23,66,57629,50,21
24,19,33225,77,23
25,52,16287,13,5
26,43,114430,87,30
27,44,15625,5,5
28,19,20984,69,25
29,36,131897,87,30
30,49,68065,66,16
31,48,66895,59,9
32,34,117360,97,30
33,46,51312,41,19
34,45,67634,40,16
35,52,15145,15,5
36,50,91011,9,4
37,56,108648,4,4
38,40,107729,95,25
39,58,47514,59,22
40,19,31726,77,17
41,40,98584,7,1
42,29,34204,81,20
43,32,116361,11,3
44,27,29722,73,23
45,66,21421,23,7
46,22,38438,69,23
47,42,58046,58,12
48,27,21965,73,23
49,54,107526,8,3
50,64,54778,47,17
51,75,50298,46,16
52,41,113358,6,3
53,49,24253,21,4
54,55,46724,55,25
55,43,121850,86,28
56,67,49964,52,18
57,44,66603,39,19
58,65,39565,64,20
59,35,107149,88,26
60,63,22083,13,6
61,54,45809,53,17
62,59,51755,48,17
63,56,87622,13,3
64,59,51064,41,20
65,64,52076,50,20
66,45,62413,55,15
67,31,123211,88,26
68,61,48581,40,15
69,32,47710,58,12
70,65,46513,46,23
71,57,17434,18,6
72,41,52550,53,18
73,58,89840,3,3
74,52,21876,13,3
75,28,40966,82,21
76,51,98107,4,2
77,40,65035,53,14
78,62,25769,21,8
79,22,33664,82,26
80,41,57682,53,18
81,42,117786,11,4
82,35,69868,53,16
83,30,97140,88,29
84,56,49910,55,22
85,36,113158,96,30
86,47,56858,56,11
87,54,59660,34,26
88,39,68204,54,14
89,40,101680,7,2
90,50,61832,54,17
91,44,12906,24,3
92,58,41950,48,19
93,57,49368,47,14
94,35,106713,92,29
95,33,59691,46,13
96,36,99228,12,4
97,44,66890,58,14
98,49,63286,66,11
99,41,77756,11,3
100,18,28728,90,21
